file,true,pred,confidence,gated
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.2648,unknown
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.4740,unknown
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.6296,recognized
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.3091,unknown
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.3872,unknown
Angelina Jolie,Angelina Jolie,Johnny Depp,0.1975,unknown
Angelina Jolie,Angelina Jolie,Nicole Kidman,0.4981,unknown
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.4322,unknown
Angelina Jolie,Angelina Jolie,Sandra Bullock,0.3215,unknown
Angelina Jolie,Angelina Jolie,Natalie Portman,0.5965,recognized
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.3221,unknown
Angelina Jolie,Angelina Jolie,Will Smith,0.3264,unknown
Angelina Jolie,Angelina Jolie,Natalie Portman,0.5459,recognized
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.6265,recognized
Angelina Jolie,Angelina Jolie,Johnny Depp,0.4698,unknown
Angelina Jolie,Angelina Jolie,Angelina Jolie,0.6078,recognized
Angelina Jolie,Angelina Jolie,Natalie Portman,0.3022,unknown
Angelina Jolie,Angelina Jolie,Johnny Depp,0.2136,unknown
Angelina Jolie,Angelina Jolie,Johnny Depp,0.4393,unknown
Angelina Jolie,Angelina Jolie,Nicole Kidman,0.4343,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.6926,recognized
Brad Pitt,Brad Pitt,Brad Pitt,0.6260,recognized
Brad Pitt,Brad Pitt,Denzel Washington,0.1717,unknown
Brad Pitt,Brad Pitt,Sandra Bullock,0.4534,unknown
Brad Pitt,Brad Pitt,Tom Hanks,0.4700,unknown
Brad Pitt,Brad Pitt,Johnny Depp,0.2470,unknown
Brad Pitt,Brad Pitt,Robert Downey Jr,0.2082,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.5314,recognized
Brad Pitt,Brad Pitt,Natalie Portman,0.2504,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.4726,unknown
Brad Pitt,Brad Pitt,Denzel Washington,0.3098,unknown
Brad Pitt,Brad Pitt,Tom Hanks,0.4904,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.3970,unknown
Brad Pitt,Brad Pitt,Brad Pitt,0.3827,unknown
Brad Pitt,Brad Pitt,Denzel Washington,0.4538,unknown
