file,true,pred,confidence,detected,gated
004_f61e7d0c.jpg,Angelina Jolie,Natalie Portman,0.2760,no,no
005_582c121a.jpg,Angelina Jolie,Angelina Jolie,0.8505,no,yes
012_cfcd4007.jpg,Angelina Jolie,Angelina Jolie,0.8669,yes,yes
014_0d29db88.jpg,Angelina Jolie,Angelina Jolie,0.7502,no,no
015_8bac79b5.jpg,Angelina Jolie,Angelina Jolie,0.5970,yes,no
018_fcafe1a8.jpg,Angelina Jolie,Angelina Jolie,0.4043,yes,no
028_6a0ff8de.jpg,Angelina Jolie,Scarlett Johansson,0.2410,no,no
029_f2882b0d.jpg,Angelina Jolie,Angelina Jolie,0.4742,yes,no
030_66bddeb6.jpg,Angelina Jolie,Angelina Jolie,0.4870,no,no
032_db66bd61.jpg,Angelina Jolie,Megan Fox,0.3251,yes,no
036_3e807a88.jpg,Angelina Jolie,Angelina Jolie,0.3685,no,no
055_aaaf063c.jpg,Angelina Jolie,Will Smith,0.4091,no,no
065_689150aa.jpg,Angelina Jolie,Angelina Jolie,0.8146,yes,yes
070_1a4312d2.jpg,Angelina Jolie,Angelina Jolie,0.6981,no,no
076_1d914d5b.jpg,Angelina Jolie,Scarlett Johansson,0.3630,no,no
082_047778bb.jpg,Angelina Jolie,Angelina Jolie,0.4411,yes,no
087_f325890f.jpg,Angelina Jolie,Angelina Jolie,0.6771,yes,no
089_33e36564.jpg,Angelina Jolie,Megan Fox,0.4046,yes,no
095_0be163a1.jpg,Angelina Jolie,Will Smith,0.2877,yes,no
098_dd1405fc.jpg,Angelina Jolie,Scarlett Johansson,0.3439,no,no
018_136dbb40.jpg,Brad Pitt,Brad Pitt,0.9727,yes,yes
019_ddcd5687.jpg,Brad Pitt,Brad Pitt,0.9647,yes,yes
028_181cbb8a.jpg,Brad Pitt,Tom Hanks,0.3194,no,no
032_fd37a8e2.jpg,Brad Pitt,Brad Pitt,0.8403,no,yes
034_984e63b3.jpg,Brad Pitt,Tom Hanks,0.7227,no,no
041_cc0957bf.jpg,Brad Pitt,Tom Hanks,0.2196,no,no
051_fd8a292f.jpg,Brad Pitt,Robert Downey Jr,0.2822,no,no
052_b80b0a3f.jpg,Brad Pitt,Brad Pitt,0.6146,no,no
055_14a5e7bc.jpg,Brad Pitt,Brad Pitt,0.8117,no,yes
059_ef2c0ca7.jpg,Brad Pitt,Brad Pitt,0.3060,yes,no
064_213e2850.jpg,Brad Pitt,Tom Hanks,0.2684,no,no
